,censustract,state,county,lilatracts_1and10,lilatracts_halfand10,lilatracts_1and20,lilatracts_vehicle,urban,rural,la1and10,lahalfand10,la1and20,latracts_half,latracts1,latracts10,latracts20,latractsvehicle_20,hunvflag,groupquartersflag,ohu2010,numgqtrs,pctgqtrs,lowincometracts,pop2010,uatyp10,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lahunvhalf,lahunvhalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lahunv1,lahunv1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lahunv10,lahunv10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lahunv20,lahunv20share
13901,11001000100,DC,District of Columbia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2686,24.0,0.004908,0,4890,U,67.06946754,0.013715638,7.883499503,0.001612168,8.755452156,0.014966585,8.274410725,0.009349617,11.393507,0.004241812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13902,11001000201,DC,District of Columbia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3908.0,0.9979571,0,3916,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13903,11001000202,DC,District of Columbia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1933,1135.0,0.2092166,0,5425,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13904,11001000300,DC,District of Columbia,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,2754,0.0,0.0,0,6233,U,1159.836906,0.186080043,296.0483383,0.047496926,82.53186306,0.119438297,50.92670571,0.110470077,195.5161739,0.070993527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13905,11001000400,DC,District of Columbia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,636,6.0,0.0041237,0,1455,U,269.3659059,0.185131207,23.17126103,0.015925265,62.8553585,0.265212483,57.80643656,0.207936822,15.91457892,0.025022923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13906,11001000501,DC,District of Columbia,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,2027,105.0,0.0311019,0,3376,U,1322.44081,0.39171825,327.4322779,0.096988234,56.89799008,0.314353536,73.55972791,0.272443437,315.0533555,0.155428394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13907,11001000502,DC,District of Columbia,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1643,6.0,0.0018815,0,3189,U,2060.433,0.646106303,184.525505,0.057863125,323.8813925,0.803675912,240.6415406,0.612319442,276.1385746,0.168069735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13908,11001000600,DC,District of Columbia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2108,182.0,0.0400969,0,4539,U,3.843141794,0.000846693,0.28203097,6.2135e-05,0.56241101,0.000773605,0.356193632,0.000426069,0.682412982,0.000323725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13909,11001000701,DC,District of Columbia,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2974,2.0,0.0004329,0,4620,U,900.2590637,0.194861269,4.729906946,0.001023789,32.07952118,0.087889099,486.8737664,0.456301562,44.88159847,0.015091324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13910,11001000702,DC,District of Columbia,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,2293,0.0,0.0,0,3364,U,1332.709305,0.396168045,148.593832,0.044171769,69.96937323,0.440058951,132.5055016,0.469877665,242.9200268,0.105939829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
