,bp,chd,chol,diab,obes,mhlth,tractwhite,tractblack,tractasian,tractomultir,tracthispanic,tractnhopi,tractaian,censustract,status_2019
0,0.0149,0.0008,0.0061,0.001,0.0035,0.0015,0.8569224836097185,0.02024681835711531,0.0387581951407636,0.024874662553027383,0.05707674508291554,0.0003856536829926726,0.0017354415734670266,11001000100,accessible
1,0.0064,0.0004,0.003,0.0006,0.0057,0.0067,0.7015032211882606,0.06179909329515629,0.11500835122882366,0.05320925793366738,0.06561679790026247,0.0011930326890956812,0.0016702457647339538,11001000201,accessible
2,0.0119,0.0005,0.0041,0.0007,0.0029,0.0019,0.8157073509015257,0.02756588072122053,0.06501386962552011,0.03085991678224688,0.05946601941747573,0.0005201109570041609,0.0008668515950069349,11001000202,accessible
3,0.0099,0.0004,0.0036,0.0006,0.0028,0.0015,0.8282356486364322,0.0209431972276631,0.05303601024559289,0.03510622269097484,0.06087087539551002,0.00015067048365225252,0.0016573753201747777,11001000300,accessible
4,0.0521,0.0032,0.0229,0.0046,0.0129,0.0057,0.7902408111533586,0.031685678073510776,0.06527249683143219,0.03358681875792142,0.0779467680608365,0.0,0.0012674271229404308,11001000400,accessible
5,0.0181,0.0006,0.0062,0.0009,0.0047,0.0024,0.7909620182977544,0.03437759911283615,0.06903243692819518,0.03936789575824785,0.06404214028278347,0.0002772387025228722,0.0019406709176601053,11001000501,accessible
6,0.022,0.001,0.0088,0.0015,0.0055,0.0025,0.7861271676300579,0.02745664739884393,0.055491329479768786,0.04826589595375722,0.07832369942196532,0.0,0.004335260115606936,11001000502,accessible
7,0.0165,0.0009,0.0068,0.0012,0.0039,0.0016,0.7961404229111065,0.046191747074522685,0.04249640730856087,0.044549373845206325,0.06815848901662903,0.0004105933073290905,0.0020529665366454527,11001000600,accessible
8,0.0165,0.001,0.0068,0.0013,0.004,0.0018,0.7654664810025861,0.04674756315894171,0.057290630594788144,0.045156156753530935,0.08096280087527352,0.0007957032027053909,0.003580664412174259,11001000701,accessible
9,0.0182,0.0007,0.0066,0.0011,0.0054,0.003,0.7393173877989788,0.051599032518140284,0.06019887127116367,0.050792797635044344,0.09594195108841709,0.0002687449610319806,0.0018812147272238647,11001000702,accessible
10,0.0114,0.0007,0.0048,0.001,0.0027,0.0013,0.7854690289795357,0.04340063178134872,0.051366570526026646,0.0403790688092295,0.07856063727509957,0.0001373437714599643,0.0006867188572998214,11001000801,accessible
11,0.0239,0.0011,0.0095,0.0016,0.0062,0.0029,0.7709677419354839,0.034516129032258064,0.07483870967741936,0.043225806451612905,0.07451612903225806,0.0006451612903225806,0.0012903225806451613,11001000802,accessible
