Authorization Date,Record ID,Store Name,Store Type,Street Number,City,State,Zip Code,Zip4,County,Latitude,Longitude,End Date
2019-02-04,1352158,7 Eleven 23001K,Convenience Store,3900,Washington,DC,20019,3401,DIST OF COLUMBIA,38.89523,-76.94853, 
2019-02-04,1352160,7 Eleven 21926J,Convenience Store,407,Washington,DC,20002,5227,DIST OF COLUMBIA,38.89523,-76.99475, 
2019-02-14,1324713,"F And A, Inc 1",Convenience Store,1303,Washington,DC,20020,6909,DIST OF COLUMBIA,38.86683,-76.98685,09/16/2021
2019-02-22,1155874,City Corner Mart 1,Convenience Store,2601,Washington,DC,20001,3933,DIST OF COLUMBIA,38.924,-77.02543, 
2019-02-27,1356291,7 Eleven 33657H,Convenience Store,3000,Washington,DC,20008, ,DIST OF COLUMBIA,38.9299,-77.05557, 
2019-03-04,1350174,Tobacco Light Convenience Store  ,Convenience Store,1517,Washington,DC,20020,5634,DIST OF COLUMBIA,38.86615,-76.98271,04/21/2020
2019-03-11,1105510,Quick Trip 24 LLC  ,Convenience Store,1356,Washington,DC,20018,3704,DIST OF COLUMBIA,38.92506,-76.98605, 
2019-03-11,1357427,Target T3328,Super Store,7828,Washington,DC,20012,1305,DIST OF COLUMBIA,38.98446,-77.02699, 
2019-03-11,1357423,Target T3308,Super Store,3505,Washington,DC,20008,2400,DIST OF COLUMBIA,38.93586,-77.05802, 
2019-03-13,1352005,S And G  Wine And Liquor Store  ,Convenience Store,5421,Washington,DC,20011,3909,DIST OF COLUMBIA,38.95581,-77.02775,09/29/2021
2019-03-15,1347558,S & H 6 Inc  ,Large Grocery Store,51,Washington,DC,20002,3297,DIST OF COLUMBIA,38.90546,-77.00727, 
2019-03-25,1352083,7-eleven 35500b  ,Convenience Store,900,Washington,DC,20002,3930,DIST OF COLUMBIA,38.90207,-76.98243, 
2019-03-28,1360358,7 Eleven 37162H,Convenience Store,637,Washington,DC,20003,4493,DIST OF COLUMBIA,38.88472,-76.99722, 
2019-04-03,1361009,CVS Pharmacy CVS17763,Combination Grocery/Other,7828,Washington,DC,20012,1305,DIST OF COLUMBIA,38.98446,-77.02699,02/17/2020
2019-04-05,1103564,USDA Farmers Market  ,Farmers' Market,1401,Washington,DC,20250, ,DIST OF COLUMBIA,38.88757,-77.02818, 
2019-04-10,1349758,Morazan Grocery Corp  ,Convenience Store,3928,Washington,DC,20011,5406,DIST OF COLUMBIA,38.93944,-77.033,02/13/2020
2019-04-17,1362399,Wawa Store 6005,Convenience Store,1400,Washington,DC,20010,2886,DIST OF COLUMBIA,38.92853,-77.03363, 
2019-04-30,1359605,"K & Y, Llc 1",Convenience Store,922,Washington,DC,20011,2970,DIST OF COLUMBIA,38.9561,-77.02679,06/16/2021
2019-05-03,1156147,7-Eleven 25464A,Convenience Store,4319,Washington,DC,20016,2139,DIST OF COLUMBIA,38.9452,-77.07811, 
