Authorization Date,Record ID,Store Name,Store Type,Street Number,City,State,Zip Code,Zip4,County,Latitude,Longitude,End Date
1930-01-01,500271,TEDS VARIETY STORE  ,Convenience Store,5912,Washington,DC,20011,5120,DIST OF COLUMBIA,0.0,0.0,06/27/1998
1930-01-01,681882,THOMAS CALOMIRIS AND SONS  ,Fruits/Veg Specialty,225,WASHINGTON,DC,20003, ,DIST OF COLUMBIA,0.0,0.0,05/20/1997
1930-01-01,526234,TIP TOP DELICATESSEN  ,Convenience Store,2005,Washington,DC,20009,1805,DIST OF COLUMBIA,0.0,0.0,01/17/1995
1930-01-01,341912,T LEE MARKET  ,Convenience Store,1541,Washington,DC,20003,1506,DIST OF COLUMBIA,0.0,0.0,10/23/1994
1930-01-01,519077,YES INC  ,Convenience Store,1039,Washington,DC,20007,4401,DIST OF COLUMBIA,0.0,0.0,05/06/1993
1930-01-01,270104,YALE MARKET  ,Small Grocery Store,1101,WASHINGTON,DC,20001, ,DIST OF COLUMBIA,0.0,0.0,02/05/1991
1930-01-01,406450,WORLD MARKET  ,Convenience Store,401,Washington,DC,20002,5405,DIST OF COLUMBIA,0.0,0.0,06/25/2002
1930-01-01,617325,WEISFELD MARKET INC  ,Convenience Store,501,Washington,DC,20003,4201,DIST OF COLUMBIA,0.0,0.0,10/30/1996
1930-01-01,232249,WAREHOUSE SUPERMARKET  ,Large Grocery Store,35,Washington,DC,20001,1364,DIST OF COLUMBIA,0.0,0.0,10/21/1991
1930-01-01,278071,W H H CORP  ,Small Grocery Store,930,Washington,DC,20001, ,DIST OF COLUMBIA,0.0,0.0,11/27/2000
1930-01-01,479328,VAUGHNS MT PLEASANT MARKET  ,Unknown,3153,Washington,DC,20010,2709,DIST OF COLUMBIA,0.0,0.0,08/22/1995
1930-01-01,371501,WONDER BREAD  ,Medium Grocery Store,2230,Washington,DC,20059,1011,DIST OF COLUMBIA,0.0,0.0,10/03/1993
1930-01-01,337641,WOMEN'S COMMUNITY BAKERY  ,Food Buying Co-op,736-7TH,WASHINGTON,DC,20003, ,DIST OF COLUMBIA,0.0,0.0,09/21/1993
1930-01-01,365410,ROOSEVELT FOOD SHOPPE  ,Convenience Store,1418,Washington,DC,20005,4404,DIST OF COLUMBIA,0.0,0.0,12/22/1997
1930-01-01,523520,RIVERVIEW DELICATESSEN  ,Unknown,1926,Washington,DC,20020,7006,DIST OF COLUMBIA,0.0,0.0,09/26/1993
1930-01-01,342884,R STREET MARKET  ,Convenience Store,10,WASHINGTON,DC,20002, ,DIST OF COLUMBIA,0.0,0.0,06/25/2002
1930-01-01,339490,QUINCY MARKET  ,Small Grocery Store,114,Washington,DC,20002,2145,DIST OF COLUMBIA,0.0,0.0,06/11/1998
1930-01-01,475649,S & M MARKET  ,Convenience Store,3025,Washington,DC,20009,6820,DIST OF COLUMBIA,0.0,0.0,11/22/1992
1930-01-01,241588,S & L CARRY ALL  ,Convenience Store,2535,Washington,DC,20009,6954,DIST OF COLUMBIA,0.0,0.0,05/27/1998
1930-01-01,606003,NEW UNIVERSITY MARKET  ,Convenience Store,1901,Washington,DC,20001,2305,DIST OF COLUMBIA,0.0,0.0,11/06/2000
1930-01-01,583961,OGDEN MARKET  ,Food Buying Co-op,1500,Washington,DC,20010,1235,DIST OF COLUMBIA,0.0,0.0,04/23/2001
1930-01-01,484770,PAULS FRESH PORK & BEEF  ,Medium Grocery Store, ,WASHINGTON,DC,20001, ,DIST OF COLUMBIA,0.0,0.0,10/08/1992
1930-01-01,691718,SAMS GROCERY  ,Convenience Store,1023,Washington,DC,20003,3905,DIST OF COLUMBIA,0.0,0.0,09/30/1993
1930-01-01,395222,SKY MARKET  ,Convenience Store,963,Washington,DC,20003,4414,DIST OF COLUMBIA,0.0,0.0,02/26/1997
1930-01-01,304277,SILVER SPRING MKT #2  ,Small Grocery Store,1824,Washington,DC,20009,2002,DIST OF COLUMBIA,0.0,0.0,01/30/1992
1930-01-01,672510,SHIPLEY SUPER MARKET  ,Supermarket,2283,Washington,DC,20020,7557,DIST OF COLUMBIA,0.0,0.0,12/22/1992
1930-01-01,632661,SHINY SERVICE CORPORATION  ,Combination Grocery/Other,2301,WASHINGTON,DC,20009, ,DIST OF COLUMBIA,0.0,0.0,05/27/1998
1930-01-01,505386,BOWERS FANCY DAIRY PRODUCTS  ,Combination Grocery/Other,225,WASHINGTON,DC,20003, ,DIST OF COLUMBIA,0.0,0.0,05/29/2002
1930-01-01,453975,Black Super Markets  ,Small Grocery Store,910,Washington,DC,20002,7116,DIST OF COLUMBIA,0.0,0.0,10/01/1992
1930-01-01,289626,BUS STOP GROCERY STORE  ,Convenience Store,3933,Washington,DC,20011,5860,DIST OF COLUMBIA,0.0,0.0,10/08/1992
1930-01-01,536778,CAPITOL SUPERMARKET  ,Supermarket,1231,Washington,DC,20001,4217,DIST OF COLUMBIA,38.90677,-77.02699, 
1930-01-01,561101,7-ELEVEN STORE #22639  ,Convenience Store,4443,Washington,DC,20019,4556,DIST OF COLUMBIA,0.0,0.0,01/27/1993
1930-01-01,288238,ARTHUR GROCERY  ,Convenience Store,3301,Washington,DC,20010,2405,DIST OF COLUMBIA,0.0,0.0,06/19/1998
1930-01-01,357184,A & K MKT  ,Convenience Store,523,Washington,DC,20001,2465,DIST OF COLUMBIA,0.0,0.0,02/18/1992
1930-01-01,449539,CARMEN AND PEACHES VARIETY  ,Convenience Store,1454,Washington,DC,20010,2800,DIST OF COLUMBIA,0.0,0.0,09/26/2002
1930-01-01,249940,COOKIES CORNER  ,Small Grocery Store,1970,Washington,DC,20001,1625,DIST OF COLUMBIA,0.0,0.0,03/07/1995
1930-01-01,413661,CRITTENDEN CORP/MIDNIGHT DELI  ,Small Grocery Store,4701,Washington,DC,20011,4531,DIST OF COLUMBIA,0.0,0.0,09/18/1997
1930-01-01,589551,CUMMINGS MARKET  ,Convenience Store,338,Washington,DC,20019,6953,DIST OF COLUMBIA,0.0,0.0,06/25/2002
1930-01-01,373177,CCM INC STAND 13  ,Meat/Poultry Specialty,1309,Washington,DC,20002,7003,DIST OF COLUMBIA,0.0,0.0,01/02/2000
1930-01-01,425735,CASA DILONE  ,Convenience Store,3161,Washington,DC,20010,2709,DIST OF COLUMBIA,0.0,0.0,11/18/1992
1930-01-01,516652,CARRIE DELICATESSEN  ,Convenience Store,3429,WASHINGTON,DC,20010, ,DIST OF COLUMBIA,0.0,0.0,09/07/2000
